"date","facility","form","location","qty","book_value"
2013-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-03-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-03-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-03-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-03-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-03-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-03-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-03-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3116391.91
2013-03-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3116391.91
2013-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-05-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-05-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-05-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-05-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-05-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-05-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-05-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-05-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-06-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-06-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-06-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-06-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-06-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-06-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-06-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-06-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-07-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-07-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-07-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-07-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-07-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-07-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-07-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-07-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-08-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-08-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-08-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-08-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-08-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-08-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-08-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-08-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-11-29,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-11-29,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-11-29,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-11-29,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-11-29,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-11-29,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-11-29,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-11-29,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-05-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-05-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-05-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-05-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-05-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-05-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-05-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-05-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-06-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-06-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-06-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-06-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-06-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-06-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-06-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-06-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-07-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-07-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-07-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-07-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-07-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-07-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-07-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-07-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-08-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-08-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-08-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-08-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-08-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-08-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-08-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-08-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2014-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2014-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
